id,prediction
greenhouses,2
complainers,3
persecuting,3
inheritance,3
secondarily,1
splattering,3
poinsettias,3
flycatchers,3
admonishing,3
highlighter,3
resourceful,1
titillation,3
cappuccinos,2
negotiating,3
bamboozling,3
impregnated,4
vouchsafing,3
ringleaders,3
jeopardizes,3
mouthwashes,3
brahmanisms,1
untimeliest,4
mimeographs,1
instituting,3
supervising,1
initialling,3
prematurely,3
uncivilized,3
comportment,3
probationer,2
medications,2
extemporize,4
internement,1
chirrupping,3
bookmobiles,2
pointillist,4
unfastening,4
inseminated,3
expatiating,3
suitability,2
bartholomew,1
deprivation,1
juggernauts,1
frequentest,1
megalopolis,3
maintainers,1
resemblance,3
lawbreakers,3
celebratory,3
chlorinates,3
subbasement,3
agonizingly,3
refinishing,1
adirondacks,3
explicating,2
calibrators,3
demobilizes,2
desensitize,3
uninhibited,3
radiologist,3
intensified,1
maintenance,3
floatations,3
delinquents,4
caricatures,1
retrenching,1
remonstrate,3
treacherous,3
colonoscopy,4
herculaneum,4
chinchillas,3
cooperating,1
pincushions,4
undershirts,3
disbelieves,2
agglutinate,1
homesteaded,3
cockroaches,3
circumcised,3
indentation,3
gallbladder,3
malefactors,1
revoltingly,3
reoccurring,2
grouchiness,2
intricacies,3
secretively,3
acupuncture,3
belligerent,3
smatterings,3
preparation,3
renegotiate,3
protagonist,4
shapeliness,3
prioritized,3
drastically,3
declensions,3
fraternizes,3
preshrunken,1
spacewalked,2
arbitrators,3
unrehearsed,1
unfavorable,3
demosthenes,4
computerize,3
houseplants,3
corporation,3
subdividing,3
handcuffing,3
modernizing,3
licentiates,3
hallucinate,1
halleluiahs,2
supersizing,2
disentangle,3
sidestrokes,3
indulgences,4
baryshnikov,1
policewomen,1
decrescendo,2
appearances,3
grandstands,4
earnestness,3
currycombed,3
catafalques,3
thesauruses,3
deprogramed,3
turtledoves,3
prosceniums,3
breadwinner,3
subtotalled,1
syllabifies,1
stewardship,1
superscript,3
pejoratives,3
telescoping,3
apatosaurus,3
acclimating,3
stripteased,3
biographies,1
pocketknife,2
connectives,3
supertanker,1
hilariously,1
fornicating,3
firecracker,3
tracheotomy,3
equestrians,1
cloverleafs,2
intonations,3
sequestered,3
caffeinated,3
cheerlessly,3
conjunctive,1
farinaceous,3
decremented,3
regrettably,1
accustoming,3
universally,3
podiatrists,3
conclusions,3
charismatic,3
corrections,3
predestined,3
routinizing,3
spokeswoman,3
obviousness,3
calendaring,3
caterpillar,3
raspberries,3
diametrical,3
advertising,3
uncleanness,1
exhibitions,3
electrolyte,3
overflowing,3
revocations,3
preferences,3
signposting,4
shipbuilder,4
backlogging,3
retardation,3
participles,3
asphyxiated,3
compartment,3
complaisant,4
beiderbecke,3
transformer,2
noticeboard,3
redirecting,3
approaching,3
telemetries,1
louisianans,1
nymphomania,1
extensional,1
dissembling,1
goaltenders,1
extenuating,4
aristocrats,1
syndicating,3
constrictor,2
paraplegics,1
miscounting,3
modulations,1
thenceforth,3
burlesquing,1
reverencing,3
inalienable,1
lightninged,1
constipates,3
dichotomies,3
kneecapping,3
missourians,1
carcinomata,4
exclusivity,3
hygrometers,3
underpinned,3
infuriating,3
enfranchise,3
refutations,3
complacence,1
paleolithic,1
stairmaster,1
hellenistic,3
perpetrator,1
perpetually,3
footbridges,4
sedimentary,3
disposition,1
defensively,3
overwriting,3
cowpunchers,3
ineluctable,3
overpowered,4
schenectady,1
offhandedly,1
colonialism,1
secretarial,1
uncertainty,1
bournemouth,3
arraignment,3
elaboration,2
interchange,3
buttonholed,1
retractions,1
wellsprings,1
ricocheting,1
rhapsodized,3
hyphenation,3
interaction,3
treacheries,3
reformatory,3
hyperlinked,3
carolingian,3
whitsundays,3
hemstitched,3
irregularly,3
anchorwoman,1
wealthiness,1
adversities,4
archaeology,1
fluoridated,3
surrealists,2
sufficiency,1
airsickness,3
impersonate,3
hagiographa,3
blankenship,3
excoriation,3
deescalates,2
coagulation,4
middlebrows,1
androgynous,3
calligraphy,3
murderously,1
cultivators,1
impenitence,3
disencumber,1
tentatively,3
screenshots,3
transceiver,3
flexibility,4
overindulge,3
politicians,3
knucklehead,1
symmetrical,1
inebriation,3
appositives,3
reorganizes,3
informative,4
unthinkable,1
bombardiers,3
refrigerate,4
resignation,2
retaliation,3
paraphrases,3
kingfishers,3
masterpiece,3
annexations,1
brandenburg,1
granulating,3
attenuating,3
underground,3
gentrifying,3
unflinching,4
spontaneous,3
statehouses,3
headhunters,3
interrelate,2
homogeneity,3
evasiveness,3
pamphleteer,1
nonchalance,1
downplaying,3
magnanimity,3
troposphere,3
assiduously,3
procreation,3
prototyping,3
baptistries,3
contributes,1
inclusively,2
protractors,3
lengthening,3
electrified,3
goldbricked,3
booksellers,3
distressing,1
submergence,1
indefinable,1
foreseeable,3
remaindered,2
vaccination,1
postmortems,3
barbiturate,2
liquidators,1
countenance,3
offensively,3
ultrasounds,3
nationality,3
chrysalides,3
transported,3
recitatives,3
subheadings,3
interlopers,1
astronomers,3
ignominious,3
terrestrial,3
predicative,3
westernized,3
hemophiliac,1
battlefield,3
quarrelsome,3
connoisseur,3
disheveling,1
contrasting,3
acclimation,3
austerities,3
maltreating,3
manipulated,3
enumeration,1
pinfeathers,1
profanation,3
anesthetist,3
motorbiking,3
concurrence,3
bridgeheads,3
coordinator,3
diversifies,1
decelerates,1
accumulated,3
translation,1
immigrating,1
typewriters,3
overwhelmed,3
chattanooga,3
manifolding,4
exorbitance,1
montesquieu,3
antichrists,3
semiprivate,3
overbooking,3
hemorrhaged,3
overcharged,3
perorations,4
bloodstains,3
importunity,3
mountebanks,2
chlorophyll,1
undefinable,3
constructed,3
dressmaking,3
bowdlerized,4
nervelessly,3
erroneously,1
preexisting,3
intoxicated,3
rapaciously,1
whorehouses,3
wheresoever,3
reinstalled,3
inhabitants,4
ingratiates,1
defenseless,2
landsteiner,3
overstating,4
unequivocal,3
bureaucracy,4
merchantmen,3
stripteases,3
plagiarisms,3
impositions,3
engendering,1
masturbates,3
mountbatten,3
meteorology,1
teotihuacan,3
subjugation,2
dauntlessly,1
shallowness,3
enchantment,3
vanquishing,3
sandblasted,1
disoriented,3
refrigerant,1
transducers,4
unsaturated,3
accompanist,3
premonition,3
schoolbooks,3
candelabrum,2
whereabouts,3
wineglasses,1
unbreakable,1
chaotically,3
megaphoning,3
shuttlecock,3
pericardium,3
playgrounds,1
sculpturing,4
summerhouse,1
trivializes,3
subprograms,3
parenthesis,3
refinancing,3
inequitable,3
orthopedics,3
electronics,2
confections,3
mendelssohn,3
humiliating,3
detrimental,1
resubmitted,1
condolences,3
concavities,4
penitential,3
providences,3
tutankhamen,3
aftereffect,3
squandering,3
excessively,1
depressives,3
sandpapered,4
resolutions,3
turbulently,1
disorganize,3
swallowtail,1
detachments,3
submersible,3
singularity,1
recidivists,3
inescapable,1
homecomings,3
inescapably,3
hypocrisies,1
interrupted,3
fabricating,3
unutterable,4
salesclerks,3
abusiveness,1
selfishness,3
stepladders,3
negligently,3
lallygagged,3
respiration,4
infestation,1
propinquity,3
indirection,3
allegorical,3
undershorts,3
backhanding,3
matchsticks,3
tautologies,1
sovereignty,3
springiness,1
gymnosperms,3
prerogative,3
extenuation,4
helicopters,3
unhealthier,1
eligibility,3
sweatshirts,1
ingratitude,3
pisistratus,3
displeasing,3
luxuriously,3
incantation,3
centerfolds,2
repossesses,3
provisioned,4
sympathized,1
inestimable,1
unburdening,4
disinclines,2
congressmen,3
fundamental,1
prestigious,3
surfboarded,3
franchisers,3
sandblaster,3
solidifying,3
furthermore,3
atrociously,3
maneuvering,3
percolating,3
masticating,1
equivalents,3
officialdom,3
executrixes,3
hydrophobia,3
cloudbursts,1
corresponds,4
